Time,ABSOLUTE_TIME,Plane_Altitude,Indicated_Altitude,Airspeed_True,Airspeed_Indicated,Plane_Pitch_Degrees,Plane_Bank_Degrees,Plane_Heading_Degrees_True,Plane_Heading_Degrees_Magnetic,Acceleration_Body_X,Acceleration_Body_Y,Acceleration_Body_Z,Plane_Latitude,Plane_Longitude,Incidence_Alpha,Incidence_Beta,Rotation_Velocity_Body_X,Rotation_Velocity_Body_Y,Rotation_Velocity_Body_Z,General_Eng_RPM_1,General_Eng_RPM_2,General_Eng_RPM_3,General_Eng_RPM_4,Elevator_Deflection,Rudder_Deflection,Aileron_Left_Deflection,Aileron_Right_Deflection,Trailing_Edge_Flaps_Left_Angle,Trailing_Edge_Flaps_Right_Angle,Leading_Edge_Flaps_Left_Angle,Leading_Edge_Flaps_Right_Angle,Spoilers_Left_Position,Spoilers_Right_Position,Gear_Center_Position,Gear_Left_Position,Gear_Right_Position
2.888801575,63726135144,2166.148733,2172.733643,117.4273987,114.0974808,15.16660751,-16.68507016,282.9580501,270.0841536,0.257123891,-0.152942888,0.069956641,34.15214343,-118.3690895,1.799214194,0.11216646,1.817540214,1.958193471,-14.04911941,3660.311742,3660.328635,0,0,0,0,0.661805579,1.103009298,42,42,0,0,0,0,1,1,1
2.999900818,63726135144,2160.280712,2166.946289,117.5756836,114.2363129,15.39428846,-17.73673313,283.0966921,270.2227955,0.277412828,-0.148254642,0.07153309,34.15215501,-118.3691486,1.754606335,0.228411531,1.713890987,1.93690268,-7.931536078,3660.76802,3660.785218,0,0,0,0,0,0,42,42,0,0,0,0,1,1,1
3.166595459,63726135144,2150.010546,2156.83667,117.8383789,114.4927597,15.76200876,-18.50075429,283.3396318,270.4657352,0.292513088,-0.145696892,0.075430558,34.15217535,-118.3692501,1.72419289,0.410935183,1.489484961,1.988760724,-2.534341942,3661.962753,3661.980449,0,0,0,0,0,0,42,42,0,0,0,0,1,1,1
3.277702332,63726135144,2145.375764,2152.305664,117.9654388,114.6138535,15.91622761,-18.61502186,283.4553004,270.5814038,0.29437504,-0.144078689,0.077355583,34.15218457,-118.3692952,1.716127077,0.478896419,1.404921866,2.047271583,-1.350328597,3662.655718,3662.673627,0,0,0,0,0,0,42,42,0,0,0,0,1,1,1
3.333297729,63726135144,2139.453741,2146.508301,118.1446075,114.7761993,16.10438224,-18.65484873,283.6118158,270.7379193,0.295368292,-0.148954427,0.079142313,34.15219639,-118.369352,1.736284673,0.563038854,1.228090873,2.142200737,-0.408698443,3663.687153,3663.705322,0,0,0.453577618,0,-0.441284192,-0.264770515,42,42,0,0,0,0,1,1,1
3.444396973,63726135145,2134.272222,2141.380859,118.2951355,114.9220581,16.22201347,-18.59093256,283.7720636,270.8981671,0.289018823,-0.181701168,0.076192597,34.15220675,-118.3694011,1.802242956,0.617650218,-0.049519259,2.242394706,1.138665797,3664.727377,3664.745765,0,0,2.49931088,0,-3.049177554,-1.829506533,42,42,0,0,0,0,1,1,1
3.611099243,63726135145,2121.961737,2129.269531,118.5814285,115.2548981,15.90143,-17.24810266,284.394663,271.5207664,0.258756886,-0.019305139,0.080026073,34.15223136,-118.3695153,2.496607244,0.646959894,-3.284316889,2.622829225,12.89142663,3667.570789,3667.589662,0,0,0.787953871,0,-14.45315215,-8.671891291,42,42,0,0,0,0,1,1,1
3.722198486,63726135145,2115.648225,2123.03833,118.7064743,115.4058838,15.70636321,-15.40308208,284.7490349,271.8751383,0.233935118,0.018014143,0.075830154,34.15224414,-118.3695732,2.803997987,0.573481359,-2.380460924,2.8737202,22.73497095,3669.192334,3669.211441,0,0,0.787953871,0,-20.88146031,-12.52887619,42,42,0,0,0,0,1,1,1
3.833297729,63726135145,2109.907579,2117.309082,118.8597717,115.544899,15.60617288,-12.91323878,285.0624167,272.1885201,0.213140312,0.046561503,0.080250122,34.1522559,-118.3696257,2.979881334,0.417881192,-1.446615185,3.102065701,29.90334831,3670.764765,3670.784076,0,0,0.960927784,0,-18.64796215,-11.18877729,42,42,0,0,0,0,1,1,1
3.888801575,63726135145,2105.503001,2112.918945,118.963768,115.6588669,15.57825448,-10.71928398,285.301276,272.4273795,0.193815516,0.06996525,0.085114504,34.15226502,-118.369666,3.041070865,0.234775747,-0.70792765,3.27066315,31.45140807,3672.065737,3672.085201,0,0,0.960927784,0,-14.58805371,-8.752832223,42,42,0,0,0,0,1,1,1
